#,Name,Yr,Pos,gp,ab,h,rbi,bb,2b,3b,hr,xbh,k,avg,obp,slg,hbp,sf,sh,hdp,go,fo,go/fo,pa,team
17,"Kaleb
                                                                        Kolpien",SR,OF,58,227,98,72,36,15,-,15,30,24,.432,.508,.696,1,2,-,5,49,50,0.98,266,Taylor (IN)
23,"Luke
                                                                        Sutter",SO,OF,57,165,66,42,25,16,3,6,25,31,.400,.492,.642,7,2,-,1,26,40,0.65,199,Taylor (IN)
21,"Brayden
                                                                        Manning",JR,OF,58,209,78,63,29,18,5,8,31,25,.373,.471,.622,13,4,-,8,54,49,1.10,255,Taylor (IN)
15,"Mason
                                                                        David",SR,INF,58,221,81,55,48,13,1,12,26,47,.367,.495,.597,8,-,1,5,40,46,0.87,278,Taylor (IN)
31,"Ben
                                                                        Kennedy",JR,INF,56,174,54,41,32,13,2,8,23,47,.310,.420,.546,3,3,4,2,33,43,0.77,216,Taylor (IN)
04,"Fletcher
                                                                        Roemmich",JR,INF,56,153,46,34,20,8,-,1,9,31,.301,.426,.373,14,1,2,4,34,42,0.81,190,Taylor (IN)
27,"Luke
                                                                        Picchiotti",SR,OF,58,170,51,45,52,8,1,10,19,46,.300,.481,.535,10,3,1,7,36,37,0.97,236,Taylor (IN)
08,"Sam
                                                                        Gladd",JR,INF,51,171,51,51,26,9,2,15,26,37,.298,.424,.637,15,5,-,6,43,42,1.02,217,Taylor (IN)
4,"Ryan
                                                                        Stark",Sr,INF,47,152,54,44,19,12,1,16,29,27,.355,.436,.763,6,4,2,-,17,20,0.85,183,Grace (IN)
7,"Jose
                                                                        Ayala",Jr,OF,51,165,54,42,18,19,0,4,23,37,.327,.411,.515,7,2,1,-,12,19,0.63,193,Grace (IN)
11,"Maximo
                                                                        De leon",Sr,OF,51,186,58,35,28,13,2,5,20,38,.312,.427,.484,10,1,1,1,24,25,0.96,226,Grace (IN)
23,"Josh
                                                                        Cosme",Sr,C,42,115,34,30,24,9,1,3,13,25,.296,.443,.470,8,2,5,-,12,22,0.55,154,Grace (IN)
1,"Dalton
                                                                        Cody",Sr,INF,47,138,40,26,13,12,0,4,16,19,.290,.354,.464,3,4,10,-,21,33,0.64,168,Grace (IN)
22,"Grant
                                                                        Hartley",Sr,1B/RHP,46,118,33,31,22,5,0,6,11,38,.280,.410,.475,4,0,1,1,10,9,1.11,145,Grace (IN)
12,"Ryan
                                                                        Willoughby",SO,P/INF,46,138,50,30,17,10,2,0,12,22,.362,.443,.464,3,0,2,2,35,25,1.40,160,Mount Vernon Nazarene (OH)
22,"Rider
                                                                        Minnick",JR,INF,43,151,53,40,16,17,0,5,22,8,.351,.416,.563,3,3,2,4,36,50,0.72,175,Mount Vernon Nazarene (OH)
19,"Grant
                                                                        Wheeler",FR,,50,179,59,33,26,12,3,7,22,35,.330,.438,.547,11,3,3,3,25,50,0.50,222,Mount Vernon Nazarene (OH)
13,"Brady
                                                                        Lester",SO,OF,52,175,57,55,32,10,4,10,24,42,.326,.433,.600,4,4,0,-,31,39,0.79,215,Mount Vernon Nazarene (OH)
8,"Grant
                                                                        Moore",SO,OF,52,168,51,26,31,8,1,3,12,50,.304,.442,.417,13,3,15,-,37,31,1.19,230,Mount Vernon Nazarene (OH)
33,"Kaid
                                                                        Carpenter",SO,INF/P,49,157,42,35,20,8,3,7,18,52,.268,.363,.490,4,1,0,2,14,33,0.42,182,Mount Vernon Nazarene (OH)
1,"Zackary
                                                                        Hoop",SR,INF,45,136,33,14,13,3,1,0,4,28,.243,.322,.279,3,0,8,3,36,34,1.06,160,Mount Vernon Nazarene (OH)
2,"Alejandro
                                                                        Delgado",FR,,40,109,25,18,18,3,2,1,6,31,.229,.389,.321,13,4,4,-,26,27,0.96,148,Mount Vernon Nazarene (OH)
6,"Brennen
                                                                        Nichols",SO,C,47,155,34,19,10,5,2,5,12,58,.219,.287,.374,5,1,3,3,23,35,0.66,174,Mount Vernon Nazarene (OH)
9,"Brandon
                                                                        Cokeley",FR,,39,120,26,17,15,5,1,3,9,27,.217,.314,.350,3,2,0,-,23,39,0.59,140,Mount Vernon Nazarene (OH)
34,"Ty
                                                                        Mathews",Sr,OF,54,201,71,56,27,11,1,14,26,36,.353,.455,.627,12,2,0,7,37,45,0.82,242,Indiana Wesleyan (IN)
9,"Kyle
                                                                        Wu",Sr,INF,53,197,69,28,28,9,1,2,12,19,.350,.463,.437,15,2,4,1,47,47,1.00,246,Indiana Wesleyan (IN)
11,"Caleb
                                                                        Engelsman",Sr,INF,54,195,64,45,22,13,1,5,19,53,.328,.427,.482,13,2,1,6,37,28,1.32,233,Indiana Wesleyan (IN)
5,"Nick
                                                                        Wiley",Jr,INF,49,153,44,50,23,6,0,17,23,45,.288,.404,.660,11,6,0,-,23,39,0.59,193,Indiana Wesleyan (IN)
17,"Kevin
                                                                        Corcoran",So,LHP,43,99,26,19,23,6,1,1,8,34,.263,.411,.374,2,0,1,1,9,24,0.38,125,Indiana Wesleyan (IN)
3,"Trevor
                                                                        Vojtkofsky",So,C,54,200,52,36,20,10,3,8,21,41,.260,.348,.460,7,0,2,4,40,53,0.75,229,Indiana Wesleyan (IN)
2,"Darien
                                                                        Pugh",Sr,INF,41,120,31,34,28,6,1,10,17,34,.258,.455,.575,17,2,1,1,19,32,0.59,168,Indiana Wesleyan (IN)
7,"Grant
                                                                        Payson",Fr,C,51,171,43,22,18,5,1,2,8,30,.251,.348,.327,8,1,1,2,47,39,1.21,199,Indiana Wesleyan (IN)
4,"Andrew
                                                                        Sinish",So,INF,39,117,29,18,22,9,0,1,10,25,.248,.389,.350,7,3,0,5,21,32,0.66,149,Indiana Wesleyan (IN)
12,"Cam
                                                                        Clarkson",Sr,IF,41,134,46,32,21,11,-,6,17,38,.343,.433,.560,1,1,-,1,12,37,0.32,157,Huntington (IN)
29,"Zach
                                                                        Pelletier",So,C,49,146,45,28,24,9,0,3,12,17,.308,.455,.432,17,2,4,2,33,51,0.65,193,Huntington (IN)
