#,Name,Yr,Pos,gp,tc,po,a,e,pb,f%,dp,sba,rcs,rcs%,ci,team
15,"Mason
                                                                        David",SR,INF,58,141,47,75,19,-,.865,5,-,-,-,-,Taylor (IN)
04,"Fletcher
                                                                        Roemmich",JR,INF,56,148,71,68,9,-,.939,3,-,-,-,-,Taylor (IN)
23,"Luke
                                                                        Sutter",SO,OF,57,41,36,3,2,-,.951,1,-,-,-,-,Taylor (IN)
27,"Luke
                                                                        Picchiotti",SR,OF,58,130,125,1,4,-,.969,1,-,-,-,-,Taylor (IN)
31,"Ben
                                                                        Kennedy",JR,INF,56,173,63,105,5,-,.971,12,-,-,-,-,Taylor (IN)
24,"Ryan
                                                                        Sommer",FR,C,40,333,307,21,5,6,.985,-,65,10,.133,-,Taylor (IN)
21,"Brayden
                                                                        Manning",JR,OF,58,150,143,5,2,-,.987,6,-,-,-,-,Taylor (IN)
08,"Sam
                                                                        Gladd",JR,INF,51,260,246,11,3,-,.988,7,-,-,-,-,Taylor (IN)
17,"Kaleb
                                                                        Kolpien",SR,OF,58,34,34,0,0,-,1.000,-,-,-,-,-,Taylor (IN)
25,"Drew
                                                                        Loy",SR,OF,43,5,4,1,0,-,1.000,-,-,-,-,-,Taylor (IN)
14,"Nate
                                                                        Simpson",SO,OF,56,27,26,1,0,-,1.000,-,-,-,-,-,Taylor (IN)
01,"Rylee
                                                                        Singleton",SO,INF,52,18,18,0,0,-,1.000,-,-,-,-,-,Taylor (IN)
19,"Mason
                                                                        Wire",Fr,INF/RHP,37,77,37,33,7,0,.909,2,0,0,-,0,Grace (IN)
1,"Dalton
                                                                        Cody",Sr,INF,47,142,73,61,8,0,.944,17,0,0,-,0,Grace (IN)
22,"Grant
                                                                        Hartley",Sr,1B/RHP,46,58,53,2,3,0,.948,4,0,0,-,0,Grace (IN)
9,"Carter
                                                                        Stogsdill",So,OF,41,31,27,3,1,0,.968,0,0,0,-,0,Grace (IN)
4,"Ryan
                                                                        Stark",Sr,INF,47,186,154,27,5,0,.973,9,0,0,-,0,Grace (IN)
23,"Josh
                                                                        Cosme",Sr,C,42,242,228,9,5,8,.979,0,16,1,.059,0,Grace (IN)
8,"Keenan
                                                                        Leblanc",Jr,INF,41,60,34,25,1,0,.983,6,0,0,-,0,Grace (IN)
11,"Maximo
                                                                        De leon",Sr,OF,51,122,119,1,2,0,.984,0,0,0,-,0,Grace (IN)
7,"Jose
                                                                        Ayala",Jr,OF,51,67,64,3,0,0,1.000,0,0,0,-,0,Grace (IN)
1,"Zackary
                                                                        Hoop",SR,INF,45,156,54,92,10,0,.936,21,0,0,-,0,Mount Vernon Nazarene (OH)
9,"Brandon
                                                                        Cokeley",FR,,39,76,24,48,4,0,.947,4,0,0,-,0,Mount Vernon Nazarene (OH)
2,"Alejandro
                                                                        Delgado",FR,,40,110,42,64,4,0,.964,7,0,0,-,0,Mount Vernon Nazarene (OH)
13,"Brady
                                                                        Lester",SO,OF,52,118,109,5,4,0,.966,0,0,0,-,0,Mount Vernon Nazarene (OH)
22,"Rider
                                                                        Minnick",JR,INF,43,134,64,66,4,0,.970,22,0,0,-,0,Mount Vernon Nazarene (OH)
8,"Grant
                                                                        Moore",SO,OF,52,104,100,1,3,0,.971,0,0,0,-,0,Mount Vernon Nazarene (OH)
19,"Grant
                                                                        Wheeler",FR,,50,71,65,4,2,0,.972,0,0,0,-,0,Mount Vernon Nazarene (OH)
6,"Brennen
                                                                        Nichols",SO,C,47,379,346,24,9,22,.976,1,44,9,.170,0,Mount Vernon Nazarene (OH)
33,"Kaid
                                                                        Carpenter",SO,INF/P,49,147,139,6,2,0,.986,12,5,1,.167,0,Mount Vernon Nazarene (OH)
12,"Ryan
                                                                        Willoughby",SO,P/INF,46,216,198,16,2,0,.991,20,2,1,.333,0,Mount Vernon Nazarene (OH)
3,"Carter
                                                                        LaPata",JR,INF/OF,40,5,4,1,0,0,1.000,1,0,0,-,0,Mount Vernon Nazarene (OH)
4,"Andrew
                                                                        Sinish",So,INF,39,62,17,39,6,0,.903,2,0,0,-,0,Indiana Wesleyan (IN)
17,"Kevin
                                                                        Corcoran",So,LHP,43,66,51,9,6,0,.909,0,3,1,.250,0,Indiana Wesleyan (IN)
5,"Nick
                                                                        Wiley",Jr,INF,49,244,215,16,13,0,.947,18,0,0,-,0,Indiana Wesleyan (IN)
34,"Ty
                                                                        Mathews",Sr,OF,54,206,188,9,9,0,.956,10,0,0,-,0,Indiana Wesleyan (IN)
11,"Caleb
                                                                        Engelsman",Sr,INF,54,220,85,126,9,0,.959,26,0,0,-,0,Indiana Wesleyan (IN)
16,"Colin
                                                                        Yoder",Sr,OF,50,58,56,0,2,0,.966,0,0,0,-,0,Indiana Wesleyan (IN)
9,"Kyle
                                                                        Wu",Sr,INF,53,199,87,106,6,0,.970,20,0,0,-,0,Indiana Wesleyan (IN)
2,"Darien
                                                                        Pugh",Sr,INF,41,34,33,0,1,0,.971,0,0,0,-,0,Indiana Wesleyan (IN)
7,"Grant
                                                                        Payson",Fr,C,51,126,115,8,3,7,.976,0,12,4,.250,0,Indiana Wesleyan (IN)
3,"Trevor
                                                                        Vojtkofsky",So,C,54,393,364,23,6,17,.985,0,31,11,.262,0,Indiana Wesleyan (IN)
6,"Greg
                                                                        Vineyard",Jr,OF,33,13,12,1,0,0,1.000,0,0,0,-,0,Indiana Wesleyan (IN)
14,"Beldon
                                                                        Glasgow",Sr,IF,52,126,43,69,14,0,.889,7,0,0,-,0,Huntington (IN)
12,"Cam
                                                                        Clarkson",Sr,IF,41,59,51,2,6,-,.898,4,-,-,-,-,Huntington (IN)
9,"Mason
                                                                        Meyer",Gr,,34,45,38,3,4,0,.911,3,7,2,.222,0,Huntington (IN)
25,"Braden
                                                                        Kauffman",Fr,,39,112,35,69,8,0,.929,13,0,0,-,0,Huntington (IN)
17,"Dylan
                                                                        Rost",Sr,IF/OF,50,60,54,2,4,0,.933,0,0,0,-,0,Huntington (IN)
30,"Deklan
                                                                        Thompson",Fr,,41,57,52,2,3,0,.947,1,0,0,-,0,Huntington (IN)
15,"Kade
                                                                        Flores",So,IF,40,163,54,101,8,0,.951,17,0,0,-,0,Huntington (IN)
7,"Beyonce Paco
                                                                        Paulina",Sr,OF/IF,52,152,81,64,7,0,.954,12,0,0,-,0,Huntington (IN)
1,"Bryce
                                                                        Deckman",Sr,LHP,43,83,79,2,2,0,.976,1,0,0,-,0,Huntington (IN)
29,"Zach
                                                                        Pelletier",So,C,49,390,362,23,5,10,.987,6,48,16,.250,0,Huntington (IN)
37,"Parker
                                                                        Richards",So,OF,44,9,9,0,0,0,1.000,0,0,0,-,0,Huntington (IN)
24,"Ryne
                                                                        Wheeler",Sr,C/1B,44,197,194,3,0,9,1.000,9,7,0,.000,0,Huntington (IN)
16,"Connor
                                                                        Dee",So,IF/OF,50,91,42,38,11,-,.879,1,-,-,-,-,Spring Arbor (MI)
12,"Jake
                                                                        Spedoske",Sr,IF/OF,46,82,33,42,7,-,.915,7,-,-,-,-,Spring Arbor (MI)
6,"Aiden
                                                                        Brunin",Jr,IF,51,212,68,129,15,-,.929,18,-,-,-,-,Spring Arbor (MI)
23,"Eli
                                                                        DeVisser",So,IF,38,75,37,34,4,-,.947,8,-,-,-,-,Spring Arbor (MI)
31,"Zach
                                                                        Adams",Jr,C,35,234,211,17,6,6,.974,-,29,9,.237,-,Spring Arbor (MI)
1,"Joey
                                                                        Tessmer",So,OF,50,128,124,2,2,-,.984,2,-,-,-,-,Spring Arbor (MI)
4,"Ryan
                                                                        Gonzalez",Sr,1B,51,340,325,13,2,-,.994,21,-,-,-,-,Spring Arbor (MI)
