#,Name,Yr,Pos,era,w,l,app,gs,sv,ip,h,r,er,bb,k,k/9,hr,whip,bf,wp,hbp,team
36,"Conner
                                                                        Miller",SR,RHP,2.12,8,0,29,1,1,46.2,29,13,11,6,42,8.10,4,.75,184,-,9,Taylor (IN)
09,"Jake
                                                                        Boyer",JR,RHP,2.45,8,2,20,7,4,51.1,38,15,14,14,60,10.52,5,1.01,208,-,6,Taylor (IN)
35,"Nathan
                                                                        Frady",SO,RHP,2.49,3,0,20,0,5,43.1,32,12,12,8,43,8.93,3,.92,175,3,6,Taylor (IN)
26,"Wes
                                                                        Hunt",JR,RHP,2.70,4,2,12,11,0,36.2,31,21,11,17,33,8.10,2,1.31,169,3,8,Taylor (IN)
22,"Gabel
                                                                        Pentecost",JR,RHP,3.04,12,2,16,16,0,80.0,63,35,27,21,116,13.05,8,1.05,332,6,9,Taylor (IN)
18,"Lane
                                                                        Lewis",FR,RHP,3.65,1,0,14,1,1,24.2,22,14,10,8,22,8.03,3,1.22,102,-,-,Taylor (IN)
10,"Gage
                                                                        Gongwer",JR,RHP,4.01,1,0,16,2,0,33.2,33,23,15,8,29,7.75,5,1.22,152,3,3,Taylor (IN)
34,"Brody
                                                                        Fine",JR,RHP,4.60,5,2,17,14,0,60.2,43,42,31,30,94,13.95,9,1.20,270,9,10,Taylor (IN)
13,"Dalton
                                                                        Swinehart",SR,RHP,4.76,4,2,22,0,4,34.0,36,22,18,8,44,11.65,5,1.29,152,8,4,Taylor (IN)
5,"Parker
                                                                        Newby",Sr,LHP,5.50,4,3,16,7,0,36.0,42,30,22,21,56,14.00,2,1.75,186,7,13,Grace (IN)
33,"Kyle
                                                                        Reinartz",Sr,LHP,5.74,2,3,12,5,0,31.1,26,25,20,28,29,8.33,2,1.72,155,3,6,Grace (IN)
32,"Sam
                                                                        Justice",Jr,RHP,7.13,2,3,10,7,0,35.1,36,28,28,20,31,7.90,3,1.58,172,9,12,Grace (IN)
21,"Evan
                                                                        Etchison",Sr,RHP,7.47,6,5,12,12,0,62.2,70,58,52,33,67,9.62,8,1.64,297,8,7,Grace (IN)
38,"Kyle
                                                                        Showley",So,RHP,7.89,1,1,14,2,2,29.2,39,26,26,7,29,8.80,8,1.55,134,2,2,Grace (IN)
3,"Joey
                                                                        Diaz",Fr,RHP/INF,9.00,2,4,14,6,0,40.0,54,47,40,19,33,7.42,7,1.82,206,3,13,Grace (IN)
14,"Steven
                                                                        Hernandez",Sr,LHP,9.32,5,5,12,11,0,56.0,82,63,58,26,26,4.18,3,1.93,278,3,8,Grace (IN)
